ID,Name,DRAJ2000,DDECJ2000,Label
12972,V* EP Lyr,289.5815,27.8509,RV Tau
12971,V* QY Sge,301.9776,18.7151,RV Tau
12974,V* MT Lyr,288.4973,29.9606,RV Tau
12975,Cl* NGC 6779 SAW V6,289.1491,30.1941,RV Tau
12976,V* V1008 Cyg,297.701,31.9403,RV Tau
12978,V* EG Lyr,287.7033,38.5738,RV Tau
12979,V* HP Lyr,290.4128,39.9356,RV Tau
12973,V* V443 Lyr,277.3813,33.978,RV Tau
12981,V967 Cyg,296.0197,38.6685,RV Tau
12980,V* V457 Cyg,309.5027,30.4202,RV Tau
12982,V* GK Cyg,300.1437,39.6099,RV Tau
12985,V* DF Cyg,297.2248,43.0374,RV Tau
12984,V360 Cyg,317.6479,30.6724,RV Tau
12986,V* BT Lac,336.0574,56.1926,RV Tau
12977,V* V Vul,309.1333,26.604,RV Tau
12970,V* R Sge,303.5156,16.7264,RV Tau
12988,V* LX And,34.9337,40.4562,RV Tau
12989,V* TW Cam,65.1985,57.4412,RV Tau
12983,V* V399 Cyg,312.2852,33.6958,RV Tau
12990,V* DZ UMa,169.6399,52.6818,RV Tau
12987,V* EQ Cas,358.222,55.0136,RV Tau
12991,V428 Aur,82.8614,38.3196,RV Tau
12992,V* RV Tau,71.7781,26.1793,RV Tau
12994,V* SS Gem,92.1463,22.6172,RV Tau
12995,V* DY Ori,91.5621,13.9053,RV Tau
12997,HD 292630A,102.866,-1.3711,RV Tau
12998,AI CMi,113.9215,0.2494,RV Tau
12999,V* UY CMa,94.5682,-17.043,RV Tau
13000,U Mon,112.6978,-9.7768,RV Tau
12993,V* SU Gem,93.5001,27.7034,RV Tau
13003,AR Pup,120.7569,-36.5966,RV Tau
13002,V* V594 Pup,126.5176,-30.1114,RV Tau
13004,BZ Pyx,137.0423,-28.3196,RV Tau
13007,V* IW Car,141.7221,-63.6303,RV Tau
13008,IRAS 10174-5704,154.8204,-57.3239,RV Tau
13006,2MASS J09160963-4946121,139.0401,-49.7701,RV Tau
13001,ST Pup,102.235,-37.2759,RV Tau
12996,V* CT Ori,92.4916,9.8755,RV Tau
13009,V* GK Car,168.5064,-57.7209,RV Tau
13005,V* V390 Vel,134.0591,-44.7197,RV Tau
13010,V* V345 Cen,175.7247,-48.1124,RV Tau
13014,V* SX Cen,185.3024,-49.2114,RV Tau
13012,V* GP Cha,148.4903,-76.6145,RV Tau
13013,RU Cen,182.3492,-45.4263,RV Tau
13016,V* SY Cir,210.8903,-69.6318,RV Tau
13011,V* CN Cen,171.4495,-59.6322,RV Tau
13017,V* BU Cen,202.4032,-50.0015,RV Tau
13015,V* VV Mus,183.3805,-65.2924,RV Tau
13021,YY Ara,250.3352,-59.8752,RV Tau
13020,IRAS 15556-5444,239.8857,-54.889,RV Tau
13023,V* V686 Ara,251.951,-59.8694,RV Tau
13018,V* EN TrA,224.2528,-68.8397,RV Tau
13024,V* CE Vir,207.3213,-1.9291,RV Tau
13026,V* V691 Ara,253.113,-56.2037,RV Tau
13025,V* UY Ara,262.3706,-59.9006,RV Tau
13028,V* RY Ara,260.2691,-51.1207,RV Tau
13019,IRAS 15469-5311,237.6826,-53.3454,RV Tau
